kommune;I alt;Ingen pendling;Indtil 5 km;5-10 km;10-20 km;20-30 km;30-40 km;40-50 km;Over 50 km;Ikke beregnet
København;191854;6471;90212;57275;22009;5317;4099;1053;5320;98
Frederiksberg;30125;1130;15746;7725;3252;742;525;130;867;8
Dragør;3605;190;673;604;1515;389;110;54;69;1
Tårnby;10947;296;3610;3822;2169;661;141;72;172;4
Albertslund;6557;159;2147;1340;2427;268;62;49;103;2
Ballerup;12049;315;3621;2419;4455;838;148;71;181;1
Brøndby;8606;215;2305;2355;3072;340;115;44;157;3
Gentofte;19357;1474;5420;6723;4150;753;301;92;438;6
Gladsaxe;17928;565;5801;5728;4482;736;261;82;271;2
Glostrup;5895;128;1768;1522;2017;203;104;32;121;0
Herlev;7241;174;2642;1723;2233;248;84;19;117;1
Hvidovre;13322;338;4069;4422;3533;425;196;90;243;6
Høje-Taastrup;13405;377;3266;2224;3954;2760;334;172;312;6
Ishøj;5546;153;1490;1142;1877;621;87;75;100;1
Lyngby-Taarbæk;14773;708;3967;2780;5792;989;231;85;217;4
Rødovre;10911;271;3184;4680;2070;308;155;44;194;5
Vallensbæk;4203;121;955;866;1850;233;53;44;81;0
Allerød;6741;288;1347;821;1914;1757;492;13;108;1
Egedal;11930;486;1936;1221;3615;3631;790;104;143;4
Fredensborg;10408;648;1912;1525;2347;1596;1940;272;163;5
Frederikssund;11354;511;2451;1303;1897;2114;1901;885;292;0
Furesø;10615;455;2199;1679;3982;1923;175;43;158;1
Gribskov;9917;746;1661;1254;2079;1606;750;844;973;4
Halsnæs;7308;372;1808;723;1291;1050;761;583;717;3
Helsingør;15578;865;4859;2000;1949;1809;1590;1925;579;2
Hillerød;14471;642;4156;1931;2536;2337;2151;511;203;4
Hørsholm;6113;452;1556;406;1253;1964;347;43;92;0
Rudersdal;14158;981;2309;2168;5136;2937;276;83;266;2
Bornholm;8407;507;3370;1180;1604;1103;251;1;368;23
Christiansø;20;5;11;0;0;0;0;0;4;0
Greve;12908;510;2516;1652;3516;3758;464;189;302;1
Køge;15525;580;3730;2090;2018;2264;2045;2047;746;5
Lejre;7171;453;804;696;1785;932;779;1143;578;1
Roskilde;23677;938;6962;1981;3813;4115;4441;743;682;2
Solrød;6257;284;1058;762;1353;1095;1410;117;178;0
Faxe;8743;508;1581;968;1391;1488;587;651;1568;1
Guldborgsund;13007;543;3921;1669;2739;1495;694;464;1477;5
Holbæk;18015;863;4877;1795;2849;2084;1668;1061;2813;5
Kalundborg;10795;455;3068;1697;2103;1211;593;481;1180;7
Lolland;7685;316;2497;788;1612;998;509;165;793;7
Næstved;20349;829;6363;2603;3097;2006;1479;761;3201;10
Odsherred;6859;456;1349;1111;1404;907;369;197;1063;3
Ringsted;8949;380;2583;661;925;1195;995;512;1696;2
Slagelse;18631;655;6428;1817;3856;1281;1327;611;2646;10
Sorø;7267;347;1493;683;1706;905;599;406;1125;3
Stevns;5595;369;751;724;1105;748;466;620;811;1
Vordingborg;9927;629;2327;1080;1793;1190;836;426;1641;5
Assens;9348;459;1808;1051;2534;1728;796;332;636;4
Faaborg-Midtfyn;11813;647;2138;1421;3078;2682;961;239;646;1
Kerteminde;5521;346;1002;872;1988;720;114;82;397;0
Langeland;2401;166;819;328;390;305;90;67;234;2
Middelfart;9700;475;2621;1335;1722;1107;1000;612;825;3
Nordfyns;6797;398;1206;742;2315;1109;412;184;430;1
Nyborg;7234;315;2216;696;1297;1225;728;182;573;2
Odense;51124;1422;23048;12459;4919;2065;1096;1400;4695;20
Svendborg;13377;685;5026;2195;1829;852;667;1274;803;46
Ærø;1208;134;491;185;281;30;8;2;70;7
Billund;6470;285;2346;688;1300;487;485;388;490;1
Esbjerg;27847;902;10230;7279;3671;2059;1259;640;1792;15
Fanø;744;75;371;162;47;17;6;3;62;1
Fredericia;12162;357;4523;2094;1919;1570;216;305;1171;7
Haderslev;12656;542;3595;1662;2420;1744;1180;485;1024;4
Kolding;23653;906;8626;3714;3699;2834;1057;485;2327;5
Sønderborg;16424;533;5964;2768;3416;1761;830;247;904;1
Tønder;8116;506;2348;873;1679;1084;639;400;587;0
Varde;11898;697;2961;1124;2840;2406;814;385;664;7
Vejen;10151;526;2421;1260;1893;1498;1045;815;690;3
Vejle;30059;1248;8942;4080;5444;4564;2123;860;2790;8
Aabenraa;13116;567;3492;2339;2570;1981;1010;376;778;3
Favrskov;12341;529;2369;1220;3350;3070;802;270;729;2
Hedensted;11781;571;2373;1410;4040;1398;617;450;922;0
Horsens;23385;767;9046;3493;3084;2445;1141;1743;1659;7
Norddjurs;8351;382;2767;907;1439;948;707;380;815;6
Odder;5645;311;1619;619;875;1538;310;76;296;1
Randers;23778;751;8999;3713;3145;1722;2694;1286;1464;4
Samsø;790;101;422;121;52;5;7;1;81;0
Silkeborg;24873;1040;7417;3585;3566;2016;2695;2937;1605;12
Skanderborg;16469;728;3545;1739;4101;3848;1052;321;1129;6
Syddjurs;10254;653;1889;885;1869;2087;1526;627;714;4
Aarhus;96013;2746;40166;21811;14125;3433;2453;2479;8776;24
Herning;21946;821;8307;3299;3578;2302;1198;843;1592;6
Holstebro;14328;556;5672;1626;1821;1192;1990;571;891;9
Ikast-Brande;9943;427;2625;811;2443;1907;557;358;812;3
Lemvig;4406;208;1477;562;836;557;297;79;389;1
Ringkøbing-Skjern;13463;636;4436;1381;2652;2026;1063;567;695;7
Skive;10200;424;3324;1511;2013;1126;818;282;696;6
Struer;4594;188;1621;526;984;445;232;260;338;0
Viborg;23399;993;8237;2953;4062;2957;1261;1029;1896;11
Brønderslev;8327;332;1939;799;1210;2162;1229;322;332;2
Frederikshavn;12635;427;5729;1295;1778;893;905;533;1049;26
Hjørring;14807;634;5580;1388;3618;1313;682;591;979;22
Jammerbugt;8773;448;1903;1020;1872;1493;1019;421;593;4
Læsø;368;54;158;68;55;0;8;2;23;0
Mariagerfjord;9599;467;2666;1077;1842;1300;878;621;744;4
Morsø;4351;197;1619;639;952;398;321;47;178;0
Rebild;7409;364;1254;729;1664;2045;586;202;565;0
Thisted;9867;491;3529;1480;1817;1214;632;140;556;8
Vesthimmerlands;8111;376;2099;1168;1650;1020;544;627;626;1
Aalborg;55019;1464;22357;10045;8618;4120;1824;1795;4713;83
